battingteam,bowlingteam,matchid,batsmanname,0
Chennai Super Kings,Sunrisers Hyderabad,1216516,AT Rayudu,88.88888888888889
Chennai Super Kings,Sunrisers Hyderabad,1216516,F du Plessis,130.0
Chennai Super Kings,Sunrisers Hyderabad,1216516,KM Jadhav,30.0
Chennai Super Kings,Sunrisers Hyderabad,1216516,MS Dhoni,140.54054054054055
Chennai Super Kings,Sunrisers Hyderabad,1216516,RA Jadeja,148.57142857142858
Chennai Super Kings,Sunrisers Hyderabad,1216516,SM Curran,300.0
Chennai Super Kings,Sunrisers Hyderabad,1216516,SR Watson,16.666666666666664
Chennai Super Kings,Sunrisers Hyderabad,1254080,AS Raut,168.88888888888889
Chennai Super Kings,Sunrisers Hyderabad,1254080,F du Plessis,147.36842105263156
Chennai Super Kings,Sunrisers Hyderabad,1254080,MM Ali,177.77777777777777
Chennai Super Kings,Sunrisers Hyderabad,1254080,RA Jadeja,133.33333333333331
Chennai Super Kings,Sunrisers Hyderabad,1254080,Suresh Raina,113.33333333333333
Chennai Super Kings,Sunrisers Hyderabad,1254091,AS Raut,121.05263157894737
Chennai Super Kings,Sunrisers Hyderabad,1254091,AT Rayudu,130.76923076923077
Chennai Super Kings,Sunrisers Hyderabad,1254091,F du Plessis,113.88888888888889
Chennai Super Kings,Sunrisers Hyderabad,1254091,MM Ali,100.0
Chennai Super Kings,Sunrisers Hyderabad,1254091,MS Dhoni,125.0
Chennai Super Kings,Sunrisers Hyderabad,1254091,Suresh Raina,75.0
Delhi Capitals,Chennai Super Kings,1175360,AR Patel,111.11111111111111
Delhi Capitals,Chennai Super Kings,1175360,CA Ingram,100.0
Delhi Capitals,Chennai Super Kings,1175360,KMA Paul,0.0
Delhi Capitals,Chennai Super Kings,1175360,PP Shaw,144.44444444444443
Delhi Capitals,Chennai Super Kings,1175360,R Tewatia,122.22222222222223
Delhi Capitals,Chennai Super Kings,1175360,RR Pant,175.0
Delhi Capitals,Chennai Super Kings,1175360,S Dhawan,110.63829787234043
Delhi Capitals,Chennai Super Kings,1175360,SS Iyer,90.0
Delhi Capitals,Chennai Super Kings,1178425,A Mishra,72.72727272727273
Delhi Capitals,Chennai Super Kings,1178425,AR Patel,100.0
Delhi Capitals,Chennai Super Kings,1178425,CA Ingram,20.0
Delhi Capitals,Chennai Super Kings,1178425,CH Morris,0.0
Delhi Capitals,Chennai Super Kings,1178425,J Suchith,40.0
Delhi Capitals,Chennai Super Kings,1178425,PP Shaw,80.0
Delhi Capitals,Chennai Super Kings,1178425,RR Pant,166.66666666666669
Delhi Capitals,Chennai Super Kings,1178425,S Dhawan,146.15384615384613
Delhi Capitals,Chennai Super Kings,1178425,SE Rutherford,50.0
Delhi Capitals,Chennai Super Kings,1178425,SS Iyer,141.93548387096774
